CpipJ_CPIJ000009	00520
CpipJ_CPIJ000010	00520
CpipJ_CPIJ000031	00480 00980 00982
CpipJ_CPIJ000058	04013
CpipJ_CPIJ000061	00531 01100 04142
CpipJ_CPIJ000077	00900 01100
CpipJ_CPIJ000080	04141
CpipJ_CPIJ000084	04310
CpipJ_CPIJ000097	04130
CpipJ_CPIJ000123	00330 01100
CpipJ_CPIJ000128	00052 00520 01100
CpipJ_CPIJ000130	03040
CpipJ_CPIJ000134	00561 00564 00565 00600 01100
CpipJ_CPIJ000146	04146
CpipJ_CPIJ000157	04310
CpipJ_CPIJ000160	03030
CpipJ_CPIJ000162	03010
CpipJ_CPIJ000179	00510 01100 04141
CpipJ_CPIJ000182	00520
CpipJ_CPIJ000184	04130
CpipJ_CPIJ000186	00561 01100
CpipJ_CPIJ000188	03040
CpipJ_CPIJ000190	03013
CpipJ_CPIJ000198	00190 01100
CpipJ_CPIJ000205	03010
CpipJ_CPIJ000232	00564
CpipJ_CPIJ000239	00564
CpipJ_CPIJ000264	03013
CpipJ_CPIJ000276	03050
CpipJ_CPIJ000279	03010
CpipJ_CPIJ000285	04141
CpipJ_CPIJ000297	00670 01100 01120
CpipJ_CPIJ000302	03030 03420 03430
CpipJ_CPIJ000325	00230 00240 01100 03030
CpipJ_CPIJ000337	00020 00480 01100 01120 04146
CpipJ_CPIJ000351	00040 00053 00500 00830 00860 00980 00982 00983 01100
CpipJ_CPIJ000357	04141
CpipJ_CPIJ000358	03022 03420
CpipJ_CPIJ000361	04144
CpipJ_CPIJ000363	00760 01100
CpipJ_CPIJ000366	00330 01100
CpipJ_CPIJ000375	00071 00310 00380 01100 01120
CpipJ_CPIJ000377	00350 01100 01120
CpipJ_CPIJ000383	03018
CpipJ_CPIJ000394	04745
CpipJ_CPIJ000400	00280 01100
CpipJ_CPIJ000401	04141
CpipJ_CPIJ000407	04145
CpipJ_CPIJ000410	04340
CpipJ_CPIJ000415	00564 00565 01100
CpipJ_CPIJ000416	00300 00310 01100
CpipJ_CPIJ000420	04350
CpipJ_CPIJ000457	00510 00563 01100
CpipJ_CPIJ000470	00190 01100
CpipJ_CPIJ000502	04144
CpipJ_CPIJ000505	00230 00983 01100
CpipJ_CPIJ000509	00230 01100
CpipJ_CPIJ000511	00790 01100
CpipJ_CPIJ000513	03013
CpipJ_CPIJ000558	00520 01100
CpipJ_CPIJ000574	04142
CpipJ_CPIJ000614	04340
CpipJ_CPIJ000640	04150
CpipJ_CPIJ000643	00450 00970
CpipJ_CPIJ000662	00564
CpipJ_CPIJ000670	00100 01100
CpipJ_CPIJ000677	04145
CpipJ_CPIJ000689	03013
CpipJ_CPIJ000693	00130 01100
CpipJ_CPIJ000714	00562 01100 04070
CpipJ_CPIJ000727	03013
CpipJ_CPIJ000728	00190 01100
CpipJ_CPIJ000730	00970
CpipJ_CPIJ000732	00310
CpipJ_CPIJ000734	00970 01100
CpipJ_CPIJ000735	04120
CpipJ_CPIJ000737	03030
CpipJ_CPIJ000742	03013
CpipJ_CPIJ000745	00531 01100 04142
CpipJ_CPIJ000753	03018
CpipJ_CPIJ000778	00562 01100 04070 04310 04745
CpipJ_CPIJ000795	03013
CpipJ_CPIJ000797	04630
CpipJ_CPIJ000806	04013 04320 04630 04650
CpipJ_CPIJ000808	04310
CpipJ_CPIJ000837	00510 01100
CpipJ_CPIJ000857	03013
CpipJ_CPIJ000859	00020 01100 01120
CpipJ_CPIJ000862	00600 01100
CpipJ_CPIJ000863	00790 01100
CpipJ_CPIJ000879	00190 01100
CpipJ_CPIJ000890	04330
CpipJ_CPIJ000894	03050
CpipJ_CPIJ000897	03050
CpipJ_CPIJ000918	00510 01100
CpipJ_CPIJ000919	00510 01100
